Voltage,Current,State
-3.4017930030822754,3.0,0
-3.218209981918335,3.0,0
-3.0534145832061768,3.0,0
-2.9082648754119873,3.0,0
-2.7748451232910156,3.0,0
-2.6484827995300293,3.0,0
-2.5287961959838867,3.0,0
-2.4178359508514404,3.0,0
-2.3114054203033447,3.0,0
-2.2098388671875,3.0,0
-2.112802028656006,3.0,0
-2.01853084564209,3.0,0
-1.928551197052002,3.0,0
-1.8440556526184082,3.0,0
-1.7655200958251953,3.0,0
-1.6916580200195312,3.0,0
-1.6197504997253418,3.0,0
-1.553135871887207,3.0,0
-1.4905271530151367,3.0,0
-1.429110050201416,3.0,0
-1.370363712310791,3.0,0
-1.316051959991455,3.0,0
-1.2624073028564453,3.0,0
-1.211862564086914,3.0,0
-1.1643691062927246,3.0,0
-1.118211269378662,3.0,0
-1.0743422508239746,3.0,0
-1.033381462097168,3.0,0
-0.9951391220092773,3.0,0
-0.9588518142700195,3.0,0
-0.9259495735168457,3.0,0
-0.8943829536437988,3.0,0
-0.8651528358459473,3.0,0
-0.8394989967346191,3.0,0
-0.8163723945617676,3.0,0
-0.7931976318359375,3.0,0
-0.7715492248535156,3.0,0
-0.7520465850830078,3.0,0
-0.7327823638916016,3.0,0
-0.7149009704589844,3.0,0
-0.6973533630371094,3.0,0
-0.6783747673034668,3.0,0
-0.6569170951843262,3.0,0
-0.634315013885498,3.0,0
-0.6098055839538574,3.0,0
-0.5834841728210449,3.0,0
-0.5538721084594727,3.0,0
-0.5198736190795898,3.0,0
-0.47939014434814453,3.0,0
-0.42946481704711914,3.0,0
-0.3675236701965332,3.0,0
-0.28793907165527344,3.0,0
-0.18808937072753906,3.0,2
-0.05958080291748047,3.0,2
0.1031641960144043,3.0,2
0.3123054504394531,3.0,0
0.571134090423584,3.0,0
0.8850846290588379,3.0,0
1.2612628936767578,3.0,0
1.6935176849365234,3.0,0
2.1631088256835938,3.0,0
2.658306121826172,3.0,0
3.1473522186279297,3.0,0
3.59195613861084,3.0,0
3.959742546081543,3.0,0
4.241029739379883,3.0,0
4.423373222351074,3.0,0
4.504912376403809,3.0,0
4.513972282409668,3.0,0
4.4609479904174805,3.0,0
4.365388870239258,3.0,0
4.247991561889648,3.0,0
4.119626045227051,3.0,0
3.9869699478149414,3.0,0
3.8559341430664062,3.0,0
3.731813430786133,3.0,0
3.6164655685424805,3.0,0
3.50803279876709,3.0,0
3.409661293029785,3.0,0
3.3186798095703125,3.0,0
3.2347564697265625,3.0,0
3.158557891845703,3.0,0
3.0877466201782227,3.0,0
3.0222768783569336,3.0,0
2.961337089538574,3.0,0
2.9082651138305664,3.0,0
2.8569564819335938,3.0,0
2.8120861053466797,3.0,0
2.7731761932373047,3.0,0
2.7335987091064453,3.0,0
2.701650619506836,3.0,0
2.6692733764648438,3.0,0
2.6349411010742188,3.0,0
2.5999879837036133,3.0,0
2.5670862197875977,3.0,0
2.5379514694213867,3.0,0
2.51101016998291,3.0,0
2.4870729446411133,3.0,0
2.4666643142700195,3.0,0
2.4497365951538086,3.0,0
2.435336112976074,3.0,0
2.4236536026000977,3.0,0
2.414212226867676,3.0,0
2.4071550369262695,3.0,0
2.401576042175293,3.0,0
2.401862144470215,3.0,0
2.405533790588379,3.0,0
2.412543296813965,3.0,0
2.4244165420532227,3.0,0
2.4407243728637695,3.0,0
2.459750175476074,3.0,0
2.481112480163574,3.0,0
2.5050973892211914,3.0,0
2.5320863723754883,3.0,0
2.5618410110473633,3.0,0
2.596888542175293,3.0,0
2.6379451751708984,3.0,0
2.6810989379882812,3.0,0
2.7315006256103516,3.0,0
2.4473047256469727,3.0,0
2.266773223876953,3.0,0
2.1334972381591797,3.0,0
2.0306901931762695,3.0,0
1.9493894577026367,3.0,0
1.881678581237793,3.0,0
1.8273181915283203,3.0,0
1.7820186614990234,3.0,0
1.74334716796875,3.0,0
1.7097301483154297,3.0,0
1.680070400238037,3.0,0
1.6570391654968262,3.0,0
1.635343074798584,3.0,0
1.6177477836608887,3.0,0
1.6020598411560059,3.0,0
